idx,pred,true
0,2270.674072265625,[2249.659912109375]
1,2279.1357421875,[2286.5498046875]
2,2294.04443359375,[2290.199951171875]
3,2312.18212890625,[2290.330078125]
4,2312.70361328125,[2301.830078125]
5,2318.73681640625,[2294.909912109375]
6,2323.420654296875,[2293.97998046875]
7,2320.369140625,[2250.81005859375]
8,2295.18212890625,[2253.43017578125]
9,2274.40380859375,[2223.93994140625]
10,2257.776123046875,[2247.68994140625]
11,2259.76904296875,[2256.429931640625]
12,2274.53125,[2248.509765625]
13,2276.14208984375,[2269.47998046875]
14,2280.8134765625,[2262.56982421875]
15,2289.81103515625,[2304.97998046875]
16,2310.34375,[2264.47998046875]
17,2305.898193359375,[2281.239990234375]
18,2301.12841796875,[2255.5400390625]
19,2288.731201171875,[2273.98974609375]
