idx,pred,true
0,3031.8876953125,[3075.68408203125]
1,3085.73779296875,[3123.985107421875]
2,3077.360595703125,[3058.545166015625]
3,3051.842041015625,[3044.522216796875]
4,3019.822998046875,[3007.128173828125]
5,2982.782958984375,[2946.362060546875]
6,2945.5380859375,[2915.199951171875]
7,2902.848388671875,[2915.199951171875]
8,2895.87353515625,[2905.85107421875]
9,2876.308837890625,[2885.59619140625]
10,2864.637451171875,[2941.688232421875]
11,2887.64208984375,[2919.8740234375]
12,2872.88818359375,[2961.943115234375]
13,2900.54248046875,[2952.593994140625]
14,2905.44287109375,[2860.667236328125]
15,2886.093505859375,[2848.2021484375]
16,2840.463623046875,[2788.994140625]
17,2817.29443359375,[2804.5751953125]
18,2778.375,[2845.086181640625]
19,2801.96435546875,[2810.80810546875]
