,confirm,suspect,heal,dead,severe,storeConfirm,input
2020-06-17,36,3,0,0,,0,4
2020-06-18,37,2,0,0,,0,4
2020-06-19,30,4,0,0,,0,4
2020-06-20,27,3,0,0,,0,1
2020-06-21,21,2,0,0,,0,7
2020-06-22,52,2,0,0,,0,9
2020-06-23,28,4,0,0,,0,3
2020-06-24,21,0,0,0,,0,5
2020-06-25,29,3,0,0,,0,2
2020-06-26,24,1,0,0,,0,4
2020-06-27,18,1,0,0,,0,3
2020-06-28,14,4,0,0,,0,5
2020-06-29,23,1,0,0,,0,11
2020-06-30,5,2,0,0,,0,0
2020-07-01,31,0,0,0,,0,2
2020-07-02,15,1,0,0,,0,3
2020-07-03,9,2,0,0,,0,2
2020-07-04,19,1,0,0,,0,6
2020-07-05,14,0,0,0,,0,3
2020-07-06,25,2,0,0,,0,8
2020-07-07,21,0,0,0,,0,7
2020-07-08,33,0,0,0,,0,9
2020-07-09,46,3,0,0,,0,4
2020-07-10,42,0,0,0,,0,2
2020-07-11,35,0,0,0,,0,7
2020-07-12,46,0,0,0,,0,8
2020-07-13,55,0,0,0,,0,3
2020-07-14,54,0,0,0,,0,6
2020-07-15,20,0,0,0,,0,1
2020-07-16,78,1,0,0,,0,9
2020-07-17,82,1,0,0,,0,6
2020-07-18,80,1,0,0,,0,3
2020-07-19,131,1,0,0,,0,5
2020-07-20,84,0,0,0,,0,3
2020-07-21,74,0,0,0,,0,5
2020-07-22,135,3,0,0,,0,3
2020-07-23,139,1,0,0,,0,6
2020-07-24,160,2,0,0,,0,5
2020-07-25,179,2,0,0,,0,11
2020-07-26,189,0,0,0,,0,4
2020-07-27,217,0,0,0,,0,4
