date,open,close,high,low,volume,code,d_return
2017-01-23,1393.047,1393.047,1399.091,1390.025,420299.0,000001,0.0
2017-01-24,1394.558,1400.602,1402.113,1390.025,470244.0,000001,0.00540870984000588
2017-01-25,1400.602,1399.091,1402.113,1397.58,304401.0,000001,-0.0010794041680337405
2017-01-26,1400.602,1409.667,1411.178,1399.091,420712.0,000001,0.007530766255061495
2017-02-03,1411.178,1399.091,1414.2,1394.558,315472.0,000001,-0.00753076625506144
2017-02-06,1399.091,1406.645,1408.156,1399.091,516786.0,000001,0.005384696387910732
2017-02-07,1406.645,1405.134,1408.156,1400.602,396884.0,000001,-0.001074764514173135
2017-02-08,1403.624,1405.134,1405.134,1396.069,360272.0,000001,0.0
2017-02-09,1405.134,1406.645,1409.667,1402.113,342855.0,000001,0.0010747645141732378
2017-02-10,1408.156,1409.667,1414.2,1406.645,482743.0,000001,0.002146069867150607
2017-02-13,1411.178,1421.754,1426.287,1409.667,638364.0,000001,0.008537814350227742
2017-02-14,1421.754,1420.243,1423.265,1415.711,362404.0,000001,-0.001063336901743496
2017-02-15,1420.243,1427.798,1441.396,1418.733,756613.0,000001,0.005305413595614755
2017-02-16,1427.798,1429.309,1435.352,1423.265,411161.0,000001,0.001057713372911948
2017-02-17,1429.309,1418.733,1433.842,1415.711,423774.0,000001,-0.00742689090481369
2017-02-20,1420.243,1444.418,1447.44,1420.243,898755.0,000001,0.017942252468489822
2017-02-21,1442.907,1445.929,1453.483,1441.396,646584.0,000001,0.0010455492974711306
2017-02-22,1445.929,1445.929,1445.929,1435.352,462966.0,000001,0.0
2017-02-23,1442.907,1436.863,1445.929,1432.331,335327.0,000001,-0.006289756519612844
2017-02-24,1435.352,1435.352,1441.396,1432.331,332500.0,000001,-0.001052149744634057
2017-02-27,1435.352,1424.776,1435.352,1423.265,407341.0,000001,-0.0073955069166000064
2017-02-28,1424.776,1432.331,1436.863,1423.265,369719.0,000001,0.005288578697856599
2017-03-01,1433.842,1433.842,1442.907,1430.82,346993.0,000001,0.0010543677161013244
2017-03-02,1436.863,1424.776,1441.396,1423.265,403628.0,000001,-0.006342946413957961
2017-03-03,1421.754,1420.243,1424.776,1414.2,342655.0,000001,-0.0031866246488271265
2017-03-06,1420.243,1427.798,1429.309,1418.733,404511.0,000001,0.005305413595614755
2017-03-07,1426.287,1427.798,1429.309,1420.243,294672.0,000001,0.0
2017-03-08,1424.776,1423.265,1427.798,1420.243,244438.0,000001,-0.003179869276578061
2017-03-09,1421.754,1417.222,1424.776,1414.2,378169.0,000001,-0.004254910595966903
2017-03-10,1417.222,1420.243,1421.754,1414.2,390182.0,000001,0.002129366276930152
2017-03-13,1418.733,1426.287,1427.798,1415.711,545304.0,000001,0.004246580280441093
2017-03-14,1424.776,1426.287,1429.309,1421.754,404484.0,000001,0.0
2017-03-15,1423.265,1432.331,1432.331,1423.265,546560.0,000001,0.00422862306624272
2017-03-16,1432.331,1438.374,1439.885,1427.798,635953.0,000001,0.0042101218523503195
2017-03-17,1427.798,1406.645,1429.309,1405.134,1583647.0,000001,-0.02230587251466907
