idx,pred,true
0,4902.2890625,[4960.25]
1,4946.935546875,[5067.099609375]
2,4965.80810546875,[5067.14013671875]
3,5007.080078125,[5057.06005859375]
4,5004.2119140625,[5065.919921875]
5,4998.1455078125,[5022.240234375]
6,4989.06005859375,[5009.8798828125]
7,4969.482421875,[4942.7001953125]
8,4938.5361328125,[4940.52001953125]
9,4898.810546875,[4889.6298828125]
10,4871.83447265625,[4934.83984375]
11,4865.9501953125,[4945.099609375]
12,4877.623046875,[4953.8701171875]
13,4894.666015625,[5017.47998046875]
14,4930.8955078125,[4999.9697265625]
15,4947.578125,[5046.83984375]
16,4963.69921875,[4964.77001953125]
17,4955.587890625,[5007.1201171875]
18,4948.46484375,[5000.02001953125]
19,4948.70263671875,[5042.009765625]
