idx,pred,true
0,3041.556640625,[3075.68408203125]
1,3070.009521484375,[3123.985107421875]
2,3060.6767578125,[3058.545166015625]
3,3040.54638671875,[3044.522216796875]
4,3014.684326171875,[3007.128173828125]
5,2970.841796875,[2946.362060546875]
6,2932.882080078125,[2915.199951171875]
7,2894.546875,[2915.199951171875]
8,2897.388671875,[2905.85107421875]
9,2878.866943359375,[2885.59619140625]
10,2857.3720703125,[2941.688232421875]
11,2890.858154296875,[2919.8740234375]
12,2869.8623046875,[2961.943115234375]
13,2909.0234375,[2952.593994140625]
14,2909.9970703125,[2860.667236328125]
15,2867.5654296875,[2848.2021484375]
16,2819.301513671875,[2788.994140625]
17,2795.422119140625,[2804.5751953125]
18,2766.523681640625,[2845.086181640625]
19,2810.645263671875,[2810.80810546875]
