idx,pred,true
0,3025.8935546875,[3075.68408203125]
1,3049.996337890625,[3123.985107421875]
2,3043.15087890625,[3058.545166015625]
3,3026.033203125,[3044.522216796875]
4,3000.96728515625,[3007.128173828125]
5,2957.243408203125,[2946.362060546875]
6,2920.216796875,[2915.199951171875]
7,2882.6142578125,[2915.199951171875]
8,2886.962158203125,[2905.85107421875]
9,2864.739501953125,[2885.59619140625]
10,2844.5126953125,[2941.688232421875]
11,2880.251220703125,[2919.8740234375]
12,2853.267578125,[2961.943115234375]
13,2898.74853515625,[2952.593994140625]
14,2893.81640625,[2860.667236328125]
15,2852.1396484375,[2848.2021484375]
16,2808.66015625,[2788.994140625]
17,2785.38037109375,[2804.5751953125]
18,2755.774169921875,[2845.086181640625]
19,2802.1572265625,[2810.80810546875]
