idx,pred,true
0,2272.57421875,2249.659912109375
1,2277.768310546875,2286.5498046875
2,2293.45947265625,2290.199951171875
3,2310.1962890625,2290.330078125
4,2312.39453125,2301.830078125
5,2320.6201171875,2294.909912109375
6,2324.8505859375,2293.97998046875
7,2323.26708984375,2250.81005859375
8,2297.0,2253.43017578125
9,2278.45947265625,2223.93994140625
10,2258.76025390625,2247.68994140625
11,2262.734375,2256.429931640625
12,2277.06640625,2248.509765625
13,2278.784912109375,2269.47998046875
14,2282.346923828125,2262.56982421875
15,2291.40234375,2304.97998046875
16,2310.417724609375,2264.47998046875
17,2304.779052734375,2281.239990234375
18,2301.236328125,2255.5400390625
19,2289.42041015625,2273.98974609375
