idx,pred,true
0,3093.75927734375,[3075.68408203125]
1,3151.509521484375,[3123.985107421875]
2,3139.883544921875,[3058.545166015625]
3,3111.6533203125,[3044.522216796875]
4,3076.87939453125,[3007.128173828125]
5,3038.54150390625,[2946.362060546875]
6,2999.770263671875,[2915.199951171875]
7,2955.228271484375,[2915.199951171875]
8,2949.05224609375,[2905.85107421875]
9,2928.7265625,[2885.59619140625]
10,2916.78662109375,[2941.688232421875]
11,2941.24853515625,[2919.8740234375]
12,2924.6484375,[2961.943115234375]
13,2954.241455078125,[2952.593994140625]
14,2959.484619140625,[2860.667236328125]
15,2938.963623046875,[2848.2021484375]
16,2889.738037109375,[2788.994140625]
17,2864.963134765625,[2804.5751953125]
18,2823.16455078125,[2845.086181640625]
19,2848.94384765625,[2810.80810546875]
