idx,pred,true
0,2446.239501953125,2385.447021484375
1,2429.631591796875,2404.14404296875
2,2452.9052734375,2430.632080078125
3,2478.8955078125,2401.028076171875
4,2448.578125,2388.56298828125
5,2432.918212890625,2439.97998046875
6,2478.2705078125,2430.632080078125
7,2477.32470703125,2511.653076171875
8,2554.079345703125,2513.2109375
9,2544.46923828125,2570.861083984375
10,2605.33740234375,2564.6279296875
11,2613.480712890625,2578.651123046875
12,2631.091796875,2584.883056640625
13,2627.78662109375,2530.35009765625
14,2585.158203125,2555.280029296875
15,2606.31884765625,2539.69921875
16,2594.43603515625,2566.18603515625
17,2614.7939453125,2591.1162109375
18,2640.36865234375,2581.76708984375
19,2600.642822265625,2563.070068359375
20,2614.433837890625,2628.510009765625
21,2662.163330078125,2676.81103515625
22,2719.277587890625,2659.672119140625
23,2701.866943359375,2672.136962890625
24,2717.15234375,2595.7900390625
25,2640.25048828125,2616.044921875
26,2659.31982421875,2600.464111328125
27,2642.436767578125,2647.20703125
28,2685.246826171875,2611.370849609375
29,2664.9599609375,2573.97705078125
30,2623.5439453125,2544.373046875
31,2586.291748046875,2553.72119140625
32,2610.9677734375,2563.070068359375
33,2610.22021484375,2492.9560546875
34,2536.31787109375,2506.97900390625
35,2544.752685546875,2421.282958984375
36,2457.038330078125,2179.778076171875
37,2190.144775390625,2274.822021484375
38,2321.48486328125,2279.49609375
39,2307.3662109375,2301.31005859375
40,2346.97705078125,2277.93798828125
41,2307.31640625,2259.240966796875
42,2287.709228515625,2304.426025390625
43,2350.936767578125,2301.31005859375
44,2332.62109375,2282.613037109375
45,2332.912109375,2341.820068359375
46,2377.698486328125,2394.796142578125
47,2419.45849609375,2368.30810546875
48,2405.75390625,2374.5400390625
49,2419.3115234375,2429.073974609375
50,2456.227294921875,2427.51611328125
51,2471.383056640625,2372.982177734375
52,2409.036865234375,2343.378173828125
53,2372.987060546875,2335.587890625
54,2375.67431640625,2354.284912109375
55,2392.175048828125,2259.240966796875
56,2303.281494140625,2304.426025390625
57,2350.088134765625,2293.51904296875
58,2338.216064453125,2288.844970703125
59,2327.93505859375,2397.912109375
60,2424.82958984375,2341.820068359375
61,2379.800537109375,2251.451171875
62,2281.736572265625,2299.752197265625
63,2341.048583984375,2288.844970703125
64,2333.01318359375,2287.287109375
65,2330.563720703125,2262.357177734375
66,2264.488037109375,2142.384033203125
67,2199.805419921875,2089.407958984375
68,2130.541259765625,1980.342041015625
69,2033.943115234375,1905.552978515625
70,1930.5224609375,1950.738037109375
71,1994.19287109375,1893.088134765625
72,1903.5791015625,1964.760986328125
73,2010.40869140625,2005.27099609375
74,2043.857666015625,2034.875
75,2070.13134765625,2048.89794921875
76,2098.00341796875,2016.177978515625
77,2035.300048828125,1994.364990234375
78,2047.9814453125,2008.38720703125
79,2052.987060546875,2020.85205078125
80,2043.12060546875,1964.760986328125
81,2001.671142578125,2006.8291015625
82,2053.638916015625,1991.248046875
83,2025.26513671875,1985.01611328125
84,2031.13330078125,1992.805908203125
85,2030.374267578125,1961.64501953125
86,1990.850341796875,2003.713134765625
87,2037.06494140625,2005.27099609375
88,2039.08203125,1975.6669921875
89,2003.83154296875,2008.38720703125
90,2046.059814453125,2023.968017578125
91,2052.7783203125,2095.640869140625
92,2145.72021484375,2061.363037109375
93,2090.95263671875,2061.363037109375
94,2101.837158203125,2062.921142578125
95,2095.418212890625,2103.43115234375
96,2145.146484375,2106.548095703125
97,2133.553955078125,2184.4521484375
98,2216.471923828125,2170.43017578125
99,2222.4580078125,2145.5
100,2173.03759765625,2133.03515625
101,2175.021240234375,2173.5458984375
102,2210.35302734375,2181.3359375
103,2226.67529296875,2148.615966796875
104,2192.97705078125,2123.68701171875
105,2162.569091796875,2072.26904296875
106,2110.492431640625,2061.363037109375
107,2106.744140625,2056.68798828125
108,2096.477294921875,2081.6181640625
109,2128.936279296875,2104.989013671875
110,2140.54443359375,2087.85009765625
111,2131.96728515625,2013.06201171875
112,2054.32470703125,2019.2939453125
113,2053.853271484375,2031.759033203125
114,2070.73779296875,2025.527099609375
115,2070.466796875,2036.432861328125
116,2064.340087890625,2025.527099609375
117,2061.994140625,2075.385986328125
118,2114.2080078125,2111.22216796875
119,2144.441650390625,2109.6640625
120,2162.48681640625,2114.338134765625
121,2148.037109375,2117.4541015625
122,2155.820556640625,2122.12890625
123,2173.7548828125,2129.9189453125
124,2167.139404296875,2101.873046875
125,2145.17333984375,2037.990966796875
126,2069.27490234375,2023.968017578125
127,2055.12744140625,1997.48095703125
128,2036.0244140625,2008.38720703125
129,2052.225341796875,2002.155029296875
130,2035.113037109375,1988.132080078125
131,2013.0078125,1994.364990234375
132,2021.6904296875,1969.43505859375
133,2002.208251953125,1963.202880859375
134,1997.916259765625,1994.364990234375
135,2025.276123046875,1994.364990234375
136,2034.0771484375,1994.364990234375
137,2028.10400390625,2044.223876953125
138,2067.148681640625,2092.525146484375
139,2107.774169921875,2220.2890625
140,2235.5458984375,2443.096923828125
141,2439.095458984375,2411.93505859375
142,2453.604248046875,2455.56103515625
143,2472.046142578125,2419.72509765625
144,2437.56005859375,2315.3330078125
145,2355.775634765625,2320.007080078125
146,2347.16845703125,2287.287109375
147,2335.052490234375,2223.405029296875
148,2270.8935546875,2204.7080078125
149,2253.88916015625,2203.14990234375
150,2237.813720703125,2295.0771484375
151,2319.47607421875,2257.68310546875
