idx,pred,true
0,4930.8974609375,[4960.25]
1,4977.4375,[5067.099609375]
2,5001.12109375,[5067.14013671875]
3,5042.9189453125,[5057.06005859375]
4,5035.3017578125,[5065.919921875]
5,5027.96484375,[5022.240234375]
6,5017.5185546875,[5009.8798828125]
7,4996.896484375,[4942.7001953125]
8,4964.13720703125,[4940.52001953125]
9,4923.30224609375,[4889.6298828125]
10,4896.8720703125,[4934.83984375]
11,4894.626953125,[4945.099609375]
12,4908.0107421875,[4953.8701171875]
13,4925.6611328125,[5017.47998046875]
14,4963.41455078125,[4999.9697265625]
15,4979.00390625,[5046.83984375]
16,4994.80029296875,[4964.77001953125]
17,4983.13720703125,[5007.1201171875]
18,4976.33154296875,[5000.02001953125]
19,4977.8544921875,[5042.009765625]
