idx,pred,true
0,3020.03173828125,[3075.68408203125]
1,3033.414306640625,[3123.985107421875]
2,3031.8662109375,[3058.545166015625]
3,3018.547607421875,[3044.522216796875]
4,2994.47900390625,[3007.128173828125]
5,2949.0234375,[2946.362060546875]
6,2912.35546875,[2915.199951171875]
7,2877.835693359375,[2915.199951171875]
8,2881.832763671875,[2905.85107421875]
9,2864.165283203125,[2885.59619140625]
10,2838.84228515625,[2941.688232421875]
11,2873.9267578125,[2919.8740234375]
12,2853.164306640625,[2961.943115234375]
13,2893.893798828125,[2952.593994140625]
14,2893.98388671875,[2860.667236328125]
15,2845.565185546875,[2848.2021484375]
16,2802.514404296875,[2788.994140625]
17,2777.598388671875,[2804.5751953125]
18,2754.494384765625,[2845.086181640625]
19,2799.453125,[2810.80810546875]
