,date,open,close,high,low,volume,code
0,2010-01-04,3592.468,3536.221,3597.75,3535.38,66101080.0,399300
1,2010-01-05,3545.186,3564.038,3577.53,3497.66,85809641.0,399300
2,2010-01-06,3558.7,3542.209,3588.83,3541.17,78473125.0,399300
3,2010-01-07,3543.16,3472.313,3558.56,3452.77,80350037.0,399300
4,2010-01-08,3456.908,3480.403,3482.08,3426.7,60613533.0,399300
5,2010-01-11,3593.106,3482.68,3594.53,3465.32,89980172.0,399300
6,2010-01-12,3477.842,3535.407,3535.41,3437.66,93743278.0,399300
7,2010-01-13,3448.291,3421.116,3490.11,3415.69,112409077.0,399300
8,2010-01-14,3433.472,3469.616,3470.32,3411.81,83353252.0,399300
9,2010-01-15,3472.524,3483.312,3500.07,3448.66,72543102.0,399300
10,2010-01-18,3471.777,3501.258,3501.26,3458.04,82854307.0,399300
11,2010-01-19,3506.806,3507.877,3528.39,3497.09,74883232.0,399300
12,2010-01-20,3512.246,3395.435,3515.45,3387.82,92495146.0,399300
13,2010-01-21,3397.043,3409.299,3425.18,3364.72,70595068.0,399300
14,2010-01-22,3364.452,3366.717,3390.8,3293.19,88933404.0,399300
15,2010-01-25,3340.013,3327.992,3372.43,3326.27,56849171.0,399300
16,2010-01-26,3328.113,3243.149,3341.2,3222.14,61735234.0,399300
17,2010-01-27,3243.038,3198.868,3255.12,3183.36,52652081.0,399300
18,2010-01-28,3195.289,3207.379,3220.31,3168.46,46838760.0,399300
19,2010-01-29,3190.315,3204.912,3249.45,3176.92,50235148.0,399300
20,2010-02-01,3198.23,3152.904,3198.31,3116.44,56856911.0,399300
21,2010-02-02,3170.778,3146.313,3211.94,3143.09,50130033.0,399300
22,2010-02-03,3160.712,3230.806,3231.07,3094.57,64590586.0,399300
23,2010-02-04,3206.431,3219.349,3242.52,3190.44,58972726.0,399300
24,2010-02-05,3147.721,3153.272,3177.42,3129.92,59105845.0,399300
25,2010-02-08,3152.253,3151.52,3172.31,3133.81,37242467.0,399300
26,2010-02-09,3147.761,3169.058,3178.95,3144.48,35815979.0,399300
27,2010-02-10,3195.142,3214.138,3214.16,3182.83,34087351.0,399300
28,2010-02-11,3216.688,3220.262,3238.35,3207.17,35689069.0,399300
