,date,open,close,high,low,volume,code
0,2010-01-04,1207.334,1198.764,1209.0,1198.12,57487691.0,399106
1,2010-01-05,1199.749,1205.49,1205.49,1186.46,71586121.0,399106
2,2010-01-06,1204.658,1203.244,1216.78,1200.54,70141191.0,399106
3,2010-01-07,1202.107,1179.986,1205.95,1174.49,72858980.0,399106
4,2010-01-08,1175.098,1187.86,1187.86,1166.69,58364551.0,399106
5,2010-01-11,1201.207,1189.949,1203.74,1183.49,70086394.0,399106
6,2010-01-12,1189.576,1213.104,1213.1,1184.54,77262403.0,399106
7,2010-01-13,1187.107,1193.733,1209.88,1182.56,84261583.0,399106
8,2010-01-14,1195.452,1219.111,1219.11,1195.45,82145621.0,399106
9,2010-01-15,1221.646,1226.72,1228.07,1216.38,73664659.0,399106
10,2010-01-18,1225.157,1240.981,1241.34,1222.08,75229925.0,399106
11,2010-01-19,1242.682,1237.212,1243.55,1232.28,75154538.0,399106
12,2010-01-20,1237.948,1191.748,1238.88,1188.55,90486122.0,399106
13,2010-01-21,1190.738,1194.208,1199.64,1179.88,59852987.0,399106
14,2010-01-22,1180.785,1161.89,1181.09,1142.79,68620934.0,399106
15,2010-01-25,1154.035,1148.488,1164.95,1147.65,45004211.0,399106
16,2010-01-26,1149.999,1112.409,1154.92,1104.88,52205481.0,399106
17,2010-01-27,1110.907,1103.637,1121.78,1094.03,42553050.0,399106
18,2010-01-28,1101.85,1113.732,1116.76,1096.13,41929676.0,399106
19,2010-01-29,1108.807,1120.446,1133.33,1104.39,50232290.0,399106
20,2010-02-01,1117.143,1102.687,1118.24,1090.51,52881515.0,399106
21,2010-02-02,1105.88,1096.292,1118.92,1095.98,46364330.0,399106
22,2010-02-03,1097.953,1116.6,1116.6,1066.5,60441693.0,399106
23,2010-02-04,1110.7,1119.769,1129.0,1105.01,63558520.0,399106
24,2010-02-05,1096.601,1097.115,1110.53,1088.63,65173555.0,399106
25,2010-02-08,1095.14,1099.153,1103.69,1091.51,41490967.0,399106
26,2010-02-09,1096.736,1100.41,1104.95,1094.05,37135800.0,399106
27,2010-02-10,1106.61,1117.399,1117.4,1105.63,33823700.0,399106
28,2010-02-11,1117.031,1118.583,1124.28,1114.78,32941394.0,399106
29,2010-02-12,1120.8,1130.518,1131.24,1120.8,31577469.0,399106
30,2010-02-22,1129.888,1129.378,1137.97,1125.04,37522051.0,399106
31,2010-02-23,1127.173,1128.084,1128.08,1107.35,45644697.0,399106
32,2010-02-24,1122.911,1153.944,1153.94,1118.73,59538563.0,399106
33,2010-02-25,1157.252,1173.657,1174.35,1157.25,71273205.0,399106
34,2010-02-26,1171.192,1172.333,1177.87,1167.11,64400501.0,399106
35,2010-03-01,1173.734,1184.881,1186.26,1173.52,68953436.0,399106
36,2010-03-02,1185.55,1183.951,1189.72,1177.96,71401206.0,399106
37,2010-03-03,1183.262,1194.109,1194.8,1178.93,74636779.0,399106
38,2010-03-04,1195.639,1158.401,1200.78,1155.58,83621342.0,399106
39,2010-03-05,1157.243,1161.418,1168.23,1150.84,54870218.0,399106
40,2010-03-08,1164.58,1172.802,1175.62,1161.88,49709622.0,399106
41,2010-03-09,1172.068,1177.102,1180.95,1160.92,57221817.0,399106
42,2010-03-10,1176.586,1164.912,1181.82,1159.04,51979239.0,399106
43,2010-03-11,1164.395,1163.459,1170.02,1150.55,46976012.0,399106
44,2010-03-12,1163.016,1147.655,1165.8,1146.77,44914428.0,399106
45,2010-03-15,1145.807,1135.371,1148.11,1129.85,38042988.0,399106
46,2010-03-16,1135.688,1142.766,1143.2,1129.43,35402324.0,399106
47,2010-03-17,1145.901,1170.483,1170.48,1145.22,52430244.0,399106
48,2010-03-18,1172.38,1172.033,1179.73,1166.9,55721111.0,399106
49,2010-03-19,1172.807,1181.5,1182.2,1167.34,56105605.0,399106
50,2010-03-22,1182.861,1186.533,1187.76,1178.52,57500218.0,399106
51,2010-03-23,1186.458,1181.807,1187.6,1177.42,55998276.0,399106
52,2010-03-24,1183.145,1187.533,1190.24,1183.15,58928133.0,399106
53,2010-03-25,1185.423,1175.272,1185.42,1172.64,60623261.0,399106
54,2010-03-26,1172.566,1186.233,1188.41,1166.41,50571830.0,399106
55,2010-03-29,1190.354,1200.981,1201.24,1190.35,60933385.0,399106
56,2010-03-30,1201.302,1208.57,1210.27,1197.99,56299136.0,399106
57,2010-03-31,1208.984,1211.248,1213.6,1205.88,58991486.0,399106
58,2010-04-01,1212.243,1228.624,1231.59,1212.24,76984046.0,399106
59,2010-04-02,1229.073,1234.533,1236.31,1227.93,75312460.0,399106
60,2010-04-06,1238.125,1237.426,1240.99,1229.06,71762750.0,399106
61,2010-04-07,1236.777,1240.775,1240.78,1231.17,64710575.0,399106
62,2010-04-08,1238.774,1232.252,1242.34,1230.12,71421863.0,399106
63,2010-04-09,1232.414,1249.877,1249.88,1232.41,68395515.0,399106
64,2010-04-12,1253.712,1252.658,1255.78,1243.72,87350080.0,399106
65,2010-04-13,1252.62,1238.223,1256.422,1210.238,7861717.49,399106
66,2010-04-14,1236.597,1247.302,1247.3,1232.25,71659640.0,399106
67,2010-04-15,1247.035,1231.582,1248.97,1221.43,73416723.0,399106
68,2010-04-16,1227.502,1229.72,1238.92,1218.72,56118753.0,399106
69,2010-04-19,1217.86,1175.337,1219.35,1175.34,80661823.0,399106
70,2010-04-20,1173.142,1179.28,1181.94,1152.49,70535814.0,399106
71,2010-04-21,1179.65,1211.648,1212.2,1179.64,80062141.0,399106
72,2010-04-22,1209.127,1213.413,1223.47,1199.77,81183123.0,399106
73,2010-04-23,1210.472,1204.439,1221.75,1199.79,74204580.0,399106
74,2010-04-26,1204.217,1197.715,1208.08,1195.66,62540268.0,399106
75,2010-04-27,1193.099,1168.562,1193.1,1148.5,68432915.0,399106
76,2010-04-28,1154.478,1161.548,1173.85,1147.85,53064097.0,399106
77,2010-04-29,1165.569,1132.224,1171.53,1132.19,57797639.0,399106
78,2010-04-30,1127.514,1112.679,1129.97,1091.74,56087095.0,399106
79,2010-05-04,1092.522,1104.859,1117.67,1085.444,41038470.58,399106
80,2010-05-05,1093.768,1129.497,1129.5,1091.04,53581498.0,399106
81,2010-05-06,1126.035,1088.314,1127.88,1088.21,56919656.0,399106
82,2010-05-07,1061.791,1064.168,1086.84,1054.77,53117306.0,399106
83,2010-05-10,1063.021,1049.986,1073.21,1027.38,50259137.0,399106
84,2010-05-11,1070.321,1024.648,1073.98,1022.61,51415184.0,399106
85,2010-05-12,1015.517,1012.244,1030.26,995.06,46290441.0,399106
86,2010-05-13,1012.6,1038.241,1038.24,998.62,47302781.0,399106
87,2010-05-14,1031.332,1039.644,1046.03,1025.65,43461980.0,399106
88,2010-05-17,1025.007,977.604,1025.01,977.6,45689318.0,399106
89,2010-05-18,973.07,993.643,997.06,956.25,50251938.0,399106
90,2010-05-19,985.978,997.461,1011.53,978.05,44694490.0,399106
91,2010-05-20,989.452,983.874,1012.22,982.02,42289560.0,399106
92,2010-05-21,957.819,1008.479,1008.48,953.09,51856886.0,399106
93,2010-05-24,1016.346,1051.619,1054.58,1016.34,70369004.0,399106
94,2010-05-25,1044.667,1040.094,1052.02,1031.16,57871353.0,399106
95,2010-05-26,1037.584,1039.455,1048.87,1031.92,44557572.0,399106
96,2010-05-27,1037.402,1060.334,1062.88,1025.49,55841267.0,399106
97,2010-05-28,1069.727,1062.777,1073.26,1055.75,58784676.0,399106
98,2010-05-31,1058.026,1033.495,1069.69,1033.49,53391561.0,399106
99,2010-06-01,1023.098,1016.54,1032.65,997.48,50577367.0,399106
100,2010-06-02,1012.122,1031.408,1031.41,1001.99,41518836.0,399106
101,2010-06-03,1035.572,1024.756,1046.96,1024.76,49658091.0,399106
102,2010-06-04,1018.539,1034.927,1035.98,1015.65,42165265.0,399106
103,2010-06-07,1014.488,1033.322,1036.23,1010.91,47368719.0,399106
104,2010-06-08,1031.224,1041.09,1044.99,1028.08,47207216.0,399106
105,2010-06-09,1045.274,1066.918,1066.92,1045.03,63797161.0,399106
106,2010-06-10,1061.903,1069.199,1077.02,1058.93,64647078.0,399106
107,2010-06-11,1073.323,1066.104,1076.19,1065.33,53693143.0,399106
108,2010-06-17,1071.645,1049.518,1075.19,1049.5,42691602.0,399106
109,2010-06-18,1047.155,1011.661,1047.59,1006.34,50546162.0,399106
110,2010-06-21,1008.234,1041.329,1041.33,998.51,51141058.0,399106
111,2010-06-22,1038.657,1047.556,1053.55,1036.51,48089319.0,399106
112,2010-06-23,1041.8,1045.16,1054.32,1031.79,45825457.0,399106
113,2010-06-24,1044.096,1047.234,1053.62,1039.76,37060875.0,399106
114,2010-06-25,1042.193,1028.611,1042.54,1019.71,39621430.0,399106
115,2010-06-28,1026.862,1012.911,1030.46,1009.14,32392701.0,399106
116,2010-06-29,1012.376,957.84,1016.05,957.84,49023658.0,399106
117,2010-06-30,947.481,945.293,947.97,931.76,37885573.0,399106
118,2010-07-01,943.11,931.347,950.94,931.27,35601017.0,399106
119,2010-07-02,929.453,925.678,931.92,890.24,44999260.0,399106
120,2010-07-05,914.235,921.339,926.94,904.42,34050901.0,399106
121,2010-07-06,918.682,945.681,946.81,917.93,42595022.0,399106
122,2010-07-07,947.136,958.39,958.39,942.93,42080341.0,399106
123,2010-07-08,961.746,956.264,965.49,947.97,41093784.0,399106
124,2010-07-09,955.903,984.319,987.99,948.65,58279992.0,399106
125,2010-07-12,984.68,993.63,997.6,982.19,58666800.0,399106
126,2010-07-13,985.423,979.773,985.42,970.15,50832064.0,399106
127,2010-07-14,980.856,984.328,995.58,979.47,48980245.0,399106
128,2010-07-15,982.584,963.823,992.27,963.74,45176020.0,399106
129,2010-07-16,959.074,969.47,971.63,948.79,38483697.0,399106
130,2010-07-19,960.712,993.067,995.86,957.39,49159100.0,399106
131,2010-07-20,993.762,1020.357,1021.12,993.76,72793184.0,399106
132,2010-07-21,1021.054,1020.957,1032.92,1017.19,69934664.0,399106
133,2010-07-22,1018.541,1035.782,1035.78,1017.02,61975932.0,399106
134,2010-07-23,1037.496,1039.02,1040.91,1026.76,62915732.0,399106
135,2010-07-26,1040.596,1050.687,1050.69,1035.82,61414528.0,399106
136,2010-07-27,1048.721,1049.438,1054.62,1043.47,57375149.0,399106
137,2010-07-28,1047.851,1071.954,1072.17,1044.55,78583528.0,399106
138,2010-07-29,1074.133,1076.878,1079.65,1065.88,83815650.0,399106
139,2010-07-30,1074.717,1075.445,1078.22,1064.24,67272409.0,399106
140,2010-08-02,1076.008,1097.027,1097.03,1075.99,74977616.0,399106
141,2010-08-03,1099.132,1078.976,1101.21,1078.98,81885245.0,399106
142,2010-08-04,1074.672,1086.987,1086.99,1061.82,73004316.0,399106
143,2010-08-05,1086.599,1086.328,1096.65,1079.17,73198021.0,399106
144,2010-08-06,1085.303,1107.437,1107.44,1077.26,80990874.0,399106
145,2010-08-09,1107.66,1122.32,1122.32,1106.62,80377410.0,399106
